Country,Status,Manta birostris,Alopas spp.,Alopas spp_2010,Carcharhinus falciformis_2014,Carcharhinus falciformis_2013,Manta alfredi,Mobula spp_2017,Mobula spp_2017,Sphyrna spp_2014,Sphyrna spp_2013,Sphyrna spp_2012,Sphyrna spp_2011,Prionace glauca_2018,Rhincodon typus_2013,Rhincodon typus_2012,Carcharhinus longimanus_2017,Carcharhinus longimanus_2013,Carcharhinus longimanus_2011
Australia,Member,,,0,,,,1,,,,,,,1,1,,,
Bangladesh,Member,,,,,,,,,,,,,,,,,,
China,Member,,,,,0,,,,,0,0,,,,,,,
Comoros,Member,,,,,,,,,,,,,,,,,,
Eritrea,Member,,,,,,,,,,,,,,,,,,
EU,Member,,1,1,1,1,,,,1,1,1,1,1,,,1,1,1
France,Member,,,,,,,,,,,,,,,,,,
India,Member,,,,,,,,,,,,,,,,0,,
Indonesia,Member,,,,,,,,,,,,,,,,,,
Iran,Member,,,,,,,,,,,,,,,,,,
Japan,Member,,,,,0,,,,,0,0,,,,0,,,
Kenya,Member,,,,,,,,,,,,,,,,,,
Korea,Member,,,,,0,,,,,,0,,,,,,,
Madagascar,Member,,,,,,,,,,,,,,,,,,
Malaysia,Member,,,,,,,,,,,,,,,,,,
Maldives,Member,,,,,,,1,1,,,,,,1,1,,,
Mauritius,Member,,,,,,,,,,,,,,,,,,
Mozambique,Member,,,,,,,,,,,,,,,,,,
Oman,Member,,,,,,,,,,,,,,,,,,
Pakistan,Member,,,,,,,,,,,,,,,,,,
Philippines,Member,,,,,,,,,,,,,,,,,,
Seychelles,Member,,,,,,,1,1,,,,,,,,,,
Sierra Leone,Member,,,,,,,,,,,,,,,,,,
Somalia,Member,,,,,,,,,,,,,,,,,,
South Africa,Member,,,,,,,1,,,,,,,,,,,
Sri Lanka,Member,,,,,,,,,,,,,,,,,,
Sudan,Member,,,,,,,,,,,,,,,,,,
Tanzania,Member,,,,,,,,,,,,,,,,,,
Thailand,Member,,,,,,,,,,,,,,,,,,
UK,Member,,,,,,,,,,,,,,,,,,
Yemen,Member,,,,,,,,,,,,,,,,,,
