Country,membership_status,Manta birostris,Alopas spp.,Carcharhinus falciformis_2014,Manta alfredi,Mobula spp_2017,Mobula spp_2020,Sphyrna spp.,Prionace glauca,Rhincodon typus_2010,Rhincodon typus_2012,Rhincodon typus_2013,Sphyrna zygaena,Carcharhinus longimanus_2012
China,member,,,,,,0,,,,,,,
Canada,member,,,,,,,,,,,,,
USA,member,,,,,1,,,,,1,,,1
EU,member,,,1,,,1,,,,,,,1
France,member,,,,,,,,,,,,,
Indonesia,member,,,,,,1,,,,,,,
Japan,member,,,,,0,0,,,0,0,,,
Mexico,cooperating non-contracting party,,,,,,,,,,1,,,
Korea,member,,,,,0,1,,,,,,,
Philippines,member,,,,,,,,,,,,,
French Polynesia,participating territory,,,,,,,,,,1,,,
New Caledonia,participating territory,,,,,,1,,,,,,,
Chinese Taipei/Taiwan,member,,,,,0,,,,,1,,,
FFA,FFA,,,1,,1,1,,,1,1,1,,1
Marshall Islands ,member,,,1,,1,1,,,1,1,1,,1
Nauru ,member,,,1,,1,1,,,1,1,1,,1
New Zealand ,member,,,1,,1,1,,,1,1,1,,1
Niue ,member,,,1,,1,1,,,1,1,1,,1
Palau ,member,,,1,,1,1,,,1,1,1,,1
Papua New Guinea ,member,,,1,,1,1,,,1,1,1,,1
Cook Islands,member,,,1,,1,1,,,1,1,1,,1
Samoa ,member,,,1,,1,1,,,1,1,1,,1
Solomon Islands ,member,,,1,,1,1,,,1,1,1,,1
Australia ,member,,,1,,1,1,,,1,1,1,,1
Tonga,member,,,1,,1,1,,,1,1,1,,1
Tuvalu ,member,,,1,,1,1,,,1,1,1,,1
Kiribati ,member,,,1,,1,1,,,1,1,1,,1
Vanuatu ,member,,,1,,1,1,,,1,1,1,,1
Micronesia,member,,,1,,1,1,,,1,1,1,,1
Fiji ,member,,,1,,1,1,,,1,1,1,,1
