"CountryName","Species","consValue"
"Australia","Manta birostris",1
"Chile","Manta birostris",1
"Ecuador","Manta birostris",1
"European Union","Manta birostris",1
"Madagascar","Manta birostris",1
"Mozambique","Manta birostris",1
"Norway","Manta birostris",1
"Senegal","Manta birostris",1
"United States","Manta birostris",1
"Uruguay","Manta birostris",1
"Ecuador","Alopias spp.",1
"Fiji","Alopias spp.",1
"Israel","Alopias spp.",1
"New Zealand","Alopias spp.",1
"Australia","Carcharhinus falciformis",1
"Chile","Carcharhinus falciformis",0.5
"Costa Rica","Carcharhinus falciformis",1
"Ecuador","Carcharhinus falciformis",1
"European Union","Carcharhinus falciformis",1
"Fiji","Carcharhinus falciformis",1
"Peru","Carcharhinus falciformis",0
"Senegal","Carcharhinus falciformis",1
"United States","Carcharhinus falciformis",1
"Chile","Manta alfredi",1
"Ecuador","Manta alfredi",1
"European Union","Manta alfredi",1
"South Africa","Manta alfredi",0
"United States","Manta alfredi",1
"New Zealand","Mobula spp.",1
"Chile","Sphyrna spp.",1
"Costa Rica","Sphyrna spp.",1
"Egypt","Sphyrna spp.",1
"European Union","Sphyrna spp.",1
"Fiji","Sphyrna spp.",1
"Monaco","Sphyrna spp.",1
"Peru","Sphyrna spp.",1
"Brazil","Prionace glauca",1
"Cook Islands","Prionace glauca",1
"Ecuador","Prionace glauca",1
"Fiji","Prionace glauca",1
"India","Prionace glauca",1
"New Zealand","Prionace glauca",0
"Norway","Prionace glauca",0
"Ecuador","Rhincodon typus",1
"European Union","Rhincodon typus",1
"India","Rhincodon typus",1
"Israel","Rhincodon typus",1
"Peru","Rhincodon typus",1
"Philippines","Rhincodon typus",1
"Senegal","Rhincodon typus",1
"Sri Lanka","Rhincodon typus",1
"Australia","Sphyrna zygaena",0
"Bangladesh","Sphyrna zygaena",1
"Côte d'Ivoire","Sphyrna zygaena",1
"Ecuador","Sphyrna zygaena",1
"Gambia","Sphyrna zygaena",1
"India","Sphyrna zygaena",1
"Nigeria","Sphyrna zygaena",1
"Norway","Sphyrna zygaena",0
"Saudi Arabia","Sphyrna zygaena",0
"Senegal","Sphyrna zygaena",1
"Costa Rica","Carcharhinus longimanus",1
"European Union","Carcharhinus longimanus",1
"India","Carcharhinus longimanus",1
"Israel","Carcharhinus longimanus",1
"New Zealand","Carcharhinus longimanus",1
"Senegal","Carcharhinus longimanus",1
"Sri Lanka","Carcharhinus longimanus",1
"Australia","Rhincodon typus",1
"Bahamas","Rhincodon typus",1
"Canada","Rhincodon typus",1
"China","Rhincodon typus",0
"Costa Rica","Rhincodon typus",1
"Denmark","Rhincodon typus",1
"El Salvador","Rhincodon typus",1
"Germany","Rhincodon typus",1
"Greenland","Rhincodon typus",0
"Guatemala","Rhincodon typus",1
"Honduras","Rhincodon typus",1
"Iceland","Rhincodon typus",0
"Japan","Rhincodon typus",0
"Republic of Korea","Rhincodon typus",0
"Malaysia","Rhincodon typus",0
"Mexico","Rhincodon typus",1
"Nicaragua","Rhincodon typus",1
"Norway","Rhincodon typus",0
"Panama","Rhincodon typus",1
"Romania","Rhincodon typus",1
"Singapore","Rhincodon typus",0
"South Africa","Rhincodon typus",1
"Tunisia","Rhincodon typus",1
"United Kingdom","Rhincodon typus",1
"United States","Rhincodon typus",1
"Australia","Carcharhinus longimanus",1
"Bahamas","Carcharhinus longimanus",1
"Benin","Carcharhinus longimanus",1
"Brazil","Carcharhinus longimanus",1
"Chile","Carcharhinus longimanus",1
"China","Carcharhinus longimanus",0
"Colombia","Carcharhinus longimanus",1
"Congo","Carcharhinus longimanus",1
"The Democratic Republic of The Congo","Carcharhinus longimanus",1
"Croatia ","Carcharhinus longimanus",1
"Ecuador","Carcharhinus longimanus",1
"El Salvador","Carcharhinus longimanus",1
"Grenada","Carcharhinus longimanus",0
"Guatemala","Carcharhinus longimanus",1
"Guinea","Carcharhinus longimanus",1
"Honduras","Carcharhinus longimanus",1
