"Country","membership_status","Species.New","Year","value"
"Colombia","member","Carcharhinus falciformis","2012",1
"European Union","member","Carcharhinus falciformis","2014",1
"Mexico","member","Carcharhinus falciformis","2014",0
"Nigaragua","member","Carcharhinus falciformis","2014",0
"Japan","member","Carcharhinus falciformis","2014",0
"Colombia","member","Carcharhinus falciformis","2014",0
"European Union","member","Carcharhinus falciformis","2015",1
"European Union","member","Mobula spp.","2015",1
"European Union","member","Sphyrna zygaena","2011",1
"European Union","member","Sphyrna zygaena","2012",1
"USA","member","Sphyrna zygaena","2015",1
"European Union","member","Carcharhinus longimanus","2011",1
"Japan","member","Carcharhinus longimanus","2011",1
