"Country","RFMOnew","combined"
"China","WCPFC","mixed"
"Chinese Taipei/Taiwan","WCPFC","mixed"
"Indonesia","WCPFC","mixed"
"Japan","WCPFC","mixed"
"Kiribati","WCPFC","oppose"
"Korea","WCPFC","mixed"
"Papua New Guinea","WCPFC","mixed"
"USA","WCPFC","mixed"
"USA","WCPFC","mixed"
"Australia","WCPFC","support"
"European Union","WCPFC","support"
"FFA","WCPFC","support"
"Palau","WCPFC","support"
"Tonga","WCPFC","support"
"Australia","WCPFC","support"
"Canada","WCPFC","support"
"European Union","WCPFC","support"
"FFA","WCPFC","support"
"Fiji","WCPFC","support"
"French Polynesia","WCPFC","support"
"Mexico","WCPFC","support"
"Micronesia","WCPFC","support"
"New Caledonia","WCPFC","support"
"New Zealand","WCPFC","support"
"Palau","WCPFC","support"
"Philippines","WCPFC","support"
"PNA","WCPFC","support"
"Samoa","WCPFC","support"
"Tuvalu","WCPFC","support"
